reportingid,transactiondate,totalamount
100001,1/3/2025,18.5
100002,1/3/2025,27.9
100003,1/7/2025,9.99
100004,1/15/2025,34.2
100005,1/21/2025,15.75
100001,1/28/2025,22.1
100006,2/2/2025,11.5
100007,2/5/2025,45
100002,2/9/2025,19.25
100003,2/14/2025,12.8
100008,2/17/2025,29.99
100004,2/23/2025,8.5
100009,3/1/2025,16.4
100010,3/4/2025,23.75
100001,3/7/2025,31.2
100005,3/11/2025,14.99
100006,3/18/2025,27.3
100011,3/22/2025,9.5
100002,3/27/2025,42.15
100012,4/1/2025,17.8
100003,4/3/2025,13.4
100004,4/8/2025,25.6
100007,4/12/2025,39.99
100008,4/18/2025,21.75
100009,4/24/2025,10.2
100010,4/29/2025,18.95
100011,5/2/2025,26.1
100012,5/6/2025,33.5
100001,5/9/2025,12.25
100002,5/15/2025,44.8
100003,5/20/2025,19.99
100004,5/25/2025,27.75
100005,5/30/2025,8.99
100006,6/3/2025,16.5
100007,6/7/2025,24.3
100008,6/12/2025,32.99
100009,6/18/2025,14.75
100010,6/22/2025,11.2
100011,6/27/2025,29.4
100012,7/1/2025,36.1
100001,7/4/2025,22.9
100002,7/9/2025,18.6
100003,7/13/2025,41.25
100004,7/17/2025,15.4
100005,7/21/2025,23.8
100006,7/26/2025,19.1
100007,8/1/2025,27.99
100008,8/5/2025,33.25
100009,8/9/2025,12.4
100010,8/13/2025,17.9
100011,8/18/2025,21.35
100012,8/23/2025,28.75
100001,8/28/2025,39.5
100002,9/2/2025,16.99
100003,9/6/2025,24.6
100004,9/10/2025,32.1
100005,9/15/2025,11.75
100006,9/20/2025,26.4
100007,9/24/2025,37.8
100008,9/29/2025,13.2
100009,10/3/2025,19.5
100010,10/7/2025,22.75
100011,10/11/2025,30.2
100012,10/16/2025,9.99
100001,10/21/2025,18.45
100002,10/25/2025,25.6
100003,10/29/2025,34.99
100004,11/3/2025,12.35
100005,11/7/2025,20.8
100006,11/11/2025,28.15
100007,11/15/2025,31.6
100008,11/19/2025,16.25
100009,11/23/2025,23.9
100010,11/27/2025,27.45
100011,12/1/2025,35.99
100012,12/5/2025,14.7
100001,12/9/2025,21.3
100002,12/13/2025,29.8
100003,12/17/2025,38.25
100004,12/20/2025,19.6
100005,12/24/2025,24.99
100006,12/28/2025,33.4
100007,12/31/2025,45.75
